Tranquil Loop,123 Serenity Street,Farming Zen Lane,2.5,72,Easy,Loop_Trail
Wilderness Wanderlust,789 Untamed Trail,Wildpath Avenue,3.9,103,Moderate,Out_and_Back
Ridgecrest Rendezvous,234 Crestline Court,Mountainview Drive,6.0,248,Hard,Point_to_Point
Serenity Summit,567 Peaceful Path,Harmony Avenue,2.0,66,Easy,Loop_Trail
Sycamore Shade Stroll,890 Shady Grove Road,Leafy Lane,3.9,104,Moderate,Loop_Trail
Grand Canyon Gateway,123 Cliffside Avenue,Overlook Lane,7.4,298,Hard,Point_to_Point
Meadowland Meander,456 Green Pasture Lane,Wildflower Avenue,2.3,72,Easy,Loop_Trail
Riverside Ramble,789 Brookside Boulevard,Creekview Drive,3.2,90,Moderate,Out_and_Back
Vista Voyage,234 Horizon Hill Drive,Panorama Path,6.7,262,Hard,Point_to_Point
Sunset Sojourn,567 Twilight Trail,Evening Avenue,1.5,52,Easy,Loop_Trail
Redwood Retreat,890 Forest Floor Lane,Sequoia Avenue,5.0,166,Moderate,Out_and_Back
Clifftop Challenge,123 Precipice Path,Overlook Lane,8.5,353,Hard,Point_to_Point
Riverbank Ramble,789 Riverside Ridge,Creekview Avenue,3.4,98,Moderate,Loop_Trail
Valley View Voyage,234 Scenic Summit Road,Panorama Avenue,6.6,256,Hard,Point_to_Point
